uuid,Wave,Section,Row,Age,Gender,Tenure,Ovr_Sat,Team_Sat,Comm_Sat,Comm_Freq,Benefit_Sat,Benefit_Aware
454f820f,2,463,L,45-54,Male,2-5 season,10 - Extremely satisfied,8,9,Just right,990,Unaware
0fffe083,2,508,M,35-44,Female,11-15 season,7,4,990,Too Many,990,Unaware
d1c86639,2,10,D,65+,Male,21+ seasons,6,1 - Not at all satisfied,990,Just right,5,Aware and have NOT used/received
c53c4fd5,2,455,A,45-54,Female,16-20 season,7,5,2,Too Many,990,Unaware
744a2845,2,332,P,65+,Male,21+ seasons,8,5,990,Too few,990,Aware and have NOT used/received
4eeb9d19,2,282,X,65+,Female,1 season,9,8,9,Just Right,990,Aware and have NOT used/received
55709935,2,129,II,65+,Male,11-20 season,3,2,5,Too few,990,Unaware
fad52170,2,498,L,25-34,Female,21+ seasons,7,3,6,Too Many,990,Unaware
4441c2f9,2,503,S,25-34,Female,16-20 season,10 - Extremely satisfied,1 - Not at all satisfied,5,Too Few,5,Aware and have NOT used/received
bbb6a9f9,2,407,B,65+,Male,21+ seasons,9,6,10 - Extremely satisfied,Just right,990,Unaware
8067b2da,2,32,V,55-64,Male,6-10 season,9,3,4,Too Many,990,Aware and have NOT used/received
80e3e135,2,248,I,35-44,Male,2-5 season,8,4,990,Just right,9,Aware and have NOT used/received
ba99e870,2,251,L,55-64,Male,11-20 season,9,7,9,Just right,8,Aware and have NOT used/received
4120c697,2,254,T,65+,Female,1 season,5,6,7,Just right,990,Unaware
14a3fba8,2,295,L,55-64,Female,2-5 season,6,2,6,Just right,7,Aware and have used/received
cb0e0e49,2,103,MM,55-64,Male,2-5 season,10 - Extremely satisfied,7,10 - Extremely satisfied,Just right,990,Unaware
ce6484cc,2,172,A,45-54,Male,11-15 season,9,3,2,Too Few,990,Unaware
1146777c,2,60,W,55-64,Female,16-20 season,9,5,6,Too Many,10 - Extremely satisfied,Aware and have used/received
b2a900cf,2,293,O,45-54,Male,11-20 season,3,6,5,Just right,5,Aware and have NOT used/received
0715a4b9,2,550,L,55-64,Male,21+ seasons,5,4,5,Just right,990,Unaware
4e053b6d,2,245,GG,45-54,Male,2-5 season,10 - Extremely satisfied,1 - Not at all satisfied,6,Just Right,10 - Extremely satisfied,Aware and have used/received
c39bdccb,2,407,H,55-64,Female,1 season,7,6,6,Too few,990,Unaware
470654cb,2,301,LL,35-44,Male,6-10 season,5,5,8,Too Few,990,Aware and have NOT used/received
0456977c,2,419,X,65+,Male,21+ seasons,7,5,7,Just right,990,Unaware
49afbe27,2,363,I,35-44,Male,1 season,10 - Extremely satisfied,5,10 - Extremely satisfied,Just right,990,Unaware
7ea88b91,2,144,V,65+,Male,21+ seasons,1 - Not at all satisfied,1 - Not at all satisfied,1 - Not at all satisfied,Too few,7,Aware and have NOT used/received
fbdcbdcd,2,342,A,45-54,Male,1 season,3,1 - Not at all satisfied,10 - Extremely satisfied,Just Right,7,Aware and have NOT used/received
bd34e19e,2,353,H,55-64,Male,2-5 season,10 - Extremely satisfied,7,10 - Extremely satisfied,Just right,990,Unaware
0f222558,2,264,E,55-64,Male,16-20 season,9,10 - Extremely satisfied,8,Too Many,990,Unaware
7191cd0c,2,98,O,25-34,Female,16-20 season,8,5,8,Too Many,7,Aware and have NOT used/received
8abafdf4,2,157,M,45-54,Female,11-15 season,6,6,7,Too Many,4,Aware and have used/received
9f543c69,2,153,M,55-64,Male,2-5 season,9,4,8,Just right,990,Aware and have NOT used/received
c6d4f35a,2,428,J,65+,Male,21+ seasons,9,8,10 - Extremely satisfied,Just right,10 - Extremely satisfied,Aware and have NOT used/received
fcc6a52a,2,276,W,55-64,Male,2-5 season,7,7,7,Just right,10 - Extremely satisfied,Aware and have NOT used/received
841c5a98,2,531,HH,35-44,Male,16-20 season,8,9,8,Too Few,7,Aware and have NOT used/received
35cf746d,2,132,I,65+,Female,21+ seasons,5,8,9,Just right,990,Unaware
ba3aca18,2,531,L,25-34,Female,6-10 season,2,7,3,Too Many,8,Aware and have NOT used/received
4972a971,2,106,CC,55-64,Female,21+ seasons,4,5,5,Just right,990,Aware and have NOT used/received
83990c2c,2,32,J,55-64,Female,16-20 season,6,7,6,Just Right,990,Unaware
c9bb0014,2,103,W,55-64,Male,2-5 season,8,7,990,Too Few,990,Unaware
57f70ff1,2,474,E,65+,Female,21+ seasons,8,7,7,Just right,7,Aware and have NOT used/received
2be43c3f,2,405,CC,45-54,Female,11-15 season,9,7,4,Too Many,10 - Extremely satisfied,Aware and have NOT used/received
75068387,2,64,X,35-44,Female,16-20 season,10 - Extremely satisfied,9,1 - Not at all satisfied,Too Few,990,Aware and have NOT used/received
f33e98fa,2,497,EE,65+,Male,21+ seasons,9,7,10 - Extremely satisfied,Just right,8,Aware and have NOT used/received
66f63fa2,2,362,J,55-64,Male,11-20 season,8,3,6,Just right,4,Aware and have NOT used/received
7ccf6b88,2,175,R,45-54,Male,11-20 season,5,1 - Not at all satisfied,7,Just right,10 - Extremely satisfied,Aware and have NOT used/received
e35a580f,2,428,X,45-54,Male,2-5 season,8,7,9,Just right,990,Unaware
b8832332,2,470,S,45-54,Male,2-5 season,9,3,5,Just right,3,Aware and have NOT used/received
84288f61,2,456,N,45-54,Male,6-10 season,10 - Extremely satisfied,1 - Not at all satisfied,990,Just right,6,Aware and have NOT used/received
6e814687,2,287,X,25-34,Male,21+ seasons,9,7,6,Too Many,990,Unaware
0f0564cf,2,350,Z,35-44,Male,2-5 season,9,2,10 - Extremely satisfied,Just Right,990,Unaware
267dddca,2,466,HH,65+,Female,21+ seasons,6,5,7,Just right,10 - Extremely satisfied,Aware and have NOT used/received
d4bfc793,2,152,EE,25-34,Female,2-5 season,9,2,3,Too Few,3,Aware and have NOT used/received
25734bb0,2,13,G,45-54,Male,6-10 season,7,10 - Extremely satisfied,3,Too Many,990,Unaware
084e3b78,2,277,NN,55-64,Male,21+ seasons,8,4,1 - Not at all satisfied,Too Many,2,Aware and have NOT used/received
e40c1ae2,2,261,KK,25-34,Male,11-20 season,9,6,10 - Extremely satisfied,Just right,990,Unaware
858191a6,2,387,BB,65+,Male,21+ seasons,7,5,10 - Extremely satisfied,Too many,990,Aware and have NOT used/received
67a387be,2,444,G,25-34,Male,21+ seasons,9,6,8,Just right,990,Unaware
c0937343,2,288,M,65+,Male,16-20 season,5,4,2,Too Few,990,Aware and have used/received
bbc31c95,2,131,W,25-34,Male,2-5 season,8,7,10 - Extremely satisfied,Just right,990,Aware and have NOT used/received
71ef7368,2,406,LL,45-54,Male,2-5 season,9,5,8,Just right,990,Unaware
7771b48d,2,174,G,65+,Male,21+ seasons,2,1 - Not at all satisfied,990,Just right,990,Unaware
7c954068,2,225,M,55-64,Male,2-5 season,10 - Extremely satisfied,5,10 - Extremely satisfied,Just right,990,Unaware
24db7736,2,134,LL,65+,Female,21+ seasons,5,2,5,Just right,990,Aware and have NOT used/received
827fd9bc,2,169,E,65+,Male,21+ seasons,5,2,5,Too few,990,Unaware
dc142c78,2,391,U,45-54,Male,11-15 season,5,4,6,Too Few,10 - Extremely satisfied,Aware and have used/received
5b1a1c15,2,191,I,65+,Female,6-10 season,10 - Extremely satisfied,1 - Not at all satisfied,7,Too Many,990,Aware and have NOT used/received
fa8809b6,2,112,MM,45-54,Female,6-10 season,6,3,5,Just Right,990,Unaware
d84d6d00,2,307,MM,65+,Female,6-10 season,10 - Extremely satisfied,10 - Extremely satisfied,10 - Extremely satisfied,Just right,8,Aware and have used/received
5dc53854,2,453,P,55-64,Female,16-20 season,4,2,7,Too Many,7,Aware and have NOT used/received
8f28ceda,2,20,E,65+,Male,11-15 season,9,9,3,Just Right,990,Unaware
8428a3ae,2,485,H,45-54,Female,2-5 season,9,1 - Not at all satisfied,6,Too Few,990,Aware and have NOT used/received
3ccbfa65,2,253,D,65+,Male,21+ seasons,8,5,8,Just right,990,Unaware
f37356c9,2,170,I,65+,Male,11-15 season,10 - Extremely satisfied,7,5,Just Right,8,Aware and have NOT used/received
efbe1cad,2,39,G,55-64,Female,16-20 season,7,1 - Not at all satisfied,5,Too Few,990,Aware and have NOT used/received
eaa18949,2,284,Q,45-54,Male,6-10 season,10 - Extremely satisfied,3,1 - Not at all satisfied,Too Many,990,Unaware
3b25adef,2,216,Y,35-44,Female,6-10 season,5,1 - Not at all satisfied,2,Just Right,10 - Extremely satisfied,Aware and have used/received
f346b667,2,4,U,55-64,Male,21+ seasons,6,1 - Not at all satisfied,2,Too few,4,Aware and have NOT used/received
be4bc896,2,518,Q,35-44,Male,1 season,8,3,10 - Extremely satisfied,Just right,10 - Extremely satisfied,Aware and have used/received
cb323fa4,2,5,X,45-54,Male,6-10 season,10 - Extremely satisfied,6,6,Too Few,10 - Extremely satisfied,Aware and have NOT used/received
9297d5ac,2,99,D,55-64,Male,21+ seasons,9,7,9,Just right,990,Unaware
d1a9a7c0,2,436,Y,55-64,Female,16-20 season,6,4,9,Just Right,990,Unaware
3cac4497,2,506,EE,45-54,Male,2-5 season,9,6,6,Too few,990,Unaware
a4736820,2,455,EE,55-64,Male,6-10 season,7,8,990,Just Right,7,Aware and have NOT used/received
8237470f,2,396,J,55-64,Male,16-20 season,10 - Extremely satisfied,8,8,Just Right,990,Unaware
79a2f8bd,2,266,M,45-54,Male,2-5 season,9,5,8,Just right,990,Unaware
bbe59db2,2,271,P,45-54,Female,11-15 season,7,7,5,Too Many,5,Aware and have NOT used/received
4cdb35dd,2,192,N,55-64,Male,1 season,10 - Extremely satisfied,8,10 - Extremely satisfied,Just right,990,Unaware
04a8e0c5,2,237,Q,45-54,Prefer not to answer,1 season,7,2,6,Just right,7,Aware and have NOT used/received
67a8be4b,2,357,S,45-54,Male,11-15 season,7,6,4,Too Many,10 - Extremely satisfied,Aware and have used/received
3c75c115,2,364,CC,25-34,Male,11-15 season,10 - Extremely satisfied,6,1 - Not at all satisfied,Too Few,5,Aware and have NOT used/received
eed924b5,2,532,L,45-54,Male,6-10 season,6,9,3,Just Right,990,Unaware
b4cbf983,2,272,CC,35-44,Female,11-20 season,1 - Not at all satisfied,3,1 - Not at all satisfied,Too many,10 - Extremely satisfied,Aware and have NOT used/received
7a165542,2,549,JJ,45-54,Male,11-20 season,7,6,7,Too many,6,Aware and have used/received
94d2adc0,2,216,M,45-54,Male,1 season,8,7,9,Just right,990,Aware and have NOT used/received
a04c5858,2,10,F,55-64,Male,2-5 season,8,1 - Not at all satisfied,3,Too Few,990,Unaware
d7880e52,2,431,BB,55-64,Male,6-10 season,8,4,8,Just right,6,Aware and have NOT used/received
b6da39b7,2,153,E,45-54,Male,1 season,7,3,1 - Not at all satisfied,Just Right,9,Aware and have used/received
033c7b19,2,147,OO,45-54,Male,21+ seasons,10 - Extremely satisfied,5,8,Just right,8,Aware and have used/received
98ead98a,2,256,U,45-54,Female,6-10 season,10 - Extremely satisfied,10 - Extremely satisfied,6,Just Right,4,Aware and have NOT used/received
7891b801,2,440,F,65+,Female,21+ seasons,7,4,4,Too many,990,Unaware
6b929b70,2,203,KK,55-64,Female,11-20 season,9,5,9,Just right,7,Aware and have used/received
a9aa6791,2,180,S,45-54,Male,11-20 season,8,3,7,Just right,990,Unaware
7a64fa0d,2,19,K,45-54,Male,6-10 season,3,7,3,Too Few,10 - Extremely satisfied,Aware and have used/received
36961028,2,63,I,55-64,Male,6-10 season,9,6,7,Just right,7,Aware and have used/received
88961af2,2,336,M,45-54,Male,2-5 season,10 - Extremely satisfied,7,10 - Extremely satisfied,Just right,990,Unaware
9f8bf78d,2,549,R,55-64,Male,6-10 season,8,5,8,Too few,990,Unaware
6c10dda7,2,56,Z,55-64,Female,16-20 season,5,1 - Not at all satisfied,8,Just Right,990,Unaware
ddd43337,2,457,H,45-54,Female,2-5 season,9,6,9,Too Many,10 - Extremely satisfied,Aware and have used/received
8f593a7d,2,430,V,45-54,Male,11-15 season,10 - Extremely satisfied,5,5,Too Many,990,Unaware
488ce132,2,132,AA,45-54,Female,1 season,9,8,8,Just right,1 - Not at all satisfied,Aware and have NOT used/received
ddaf39da,2,67,Y,35-44,Female,11-15 season,10 - Extremely satisfied,4,4,Too Many,990,Unaware
91c770b7,2,405,AA,55-64,Male,6-10 season,9,3,2,Too Many,990,Unaware
3e10d30d,2,98,M,45-54,Male,6-10 season,8,8,8,Just right,990,Unaware
64bcdba4,2,319,HH,45-54,Male,11-20 season,8,6,9,Just right,9,Aware and have NOT used/received
d5a62192,2,408,C,55-64,Male,6-10 season,7,8,3,Just Right,10 - Extremely satisfied,Aware and have NOT used/received
a9fe4b8b,2,172,GG,55-64,Male,11-20 season,6,1 - Not at all satisfied,5,Just right,990,Unaware
983e246b,2,324,B,45-54,Male,2-5 season,8,6,7,Too few,10 - Extremely satisfied,Aware and have NOT used/received
201bf133,2,170,DD,65+,Female,6-10 season,7,10 - Extremely satisfied,6,Too Many,5,Aware and have NOT used/received
6a6cb69c,2,403,K,45-54,Female,21+ seasons,10 - Extremely satisfied,9,3,Just Right,990,Unaware
df4766d1,2,260,DD,65+,Female,6-10 season,10 - Extremely satisfied,8,8,Too Few,2,Aware and have NOT used/received
72432bbc,2,193,H,35-44,Male,1 season,10 - Extremely satisfied,5,10 - Extremely satisfied,Just right,990,Unaware
22c650a0,2,121,L,55-64,Male,11-15 season,8,8,4,Too Many,990,Unaware
794fae2c,2,301,MM,55-64,Male,11-20 season,7,7,7,Just right,990,Aware and have NOT used/received
165s684q,2,124,S,35-44,Male,11-15 season,1 - Not at all satisfied,1 - Not at all satisfied,3,Just Right,5,Aware and have used/received
7.37E+06,2,428,H,45-54,Male,6-10 season,9,8,9,Just right,990,Unaware
175c8517,2,538,T,45-54,Female,6-10 season,5,1 - Not at all satisfied,9,Just Right,7,Aware and have used/received
add500bd,2,172,N,45-54,Male,2-5 season,10 - Extremely satisfied,5,990,Just right,10 - Extremely satisfied,Aware and have used/received
0648d908,2,398,F,65+,Male,2-5 season,10 - Extremely satisfied,6,10 - Extremely satisfied,Just right,990,Aware and have NOT used/received
f4203e00,2,375,AA,45-54,Male,11-20 season,8,2,6,Just right,990,Unaware
07becf2e,2,175,W,45-54,Male,1 season,8,3,5,Too many,8,Aware and have NOT used/received
2967d346,2,366,FF,45-54,Female,2-5 season,5,5,9,Too Few,990,Unaware
0b2868eb,2,439,N,55-64,Male,21+ seasons,10 - Extremely satisfied,8,10 - Extremely satisfied,Just right,990,Aware and have NOT used/received
132db205,2,542,E,45-54,Male,2-5 season,10 - Extremely satisfied,5,10 - Extremely satisfied,Just right,7,Aware and have NOT used/received
28158da6,2,24,A,55-64,Male,2-5 season,10 - Extremely satisfied,9,10 - Extremely satisfied,Just right,9,Aware and have used/received
ee94c377,2,199,G,55-64,Male,11-20 season,10 - Extremely satisfied,8,10 - Extremely satisfied,Just right,5,Aware and have NOT used/received
a75cf04d,2,266,Q,65+,Male,21+ seasons,5,6,7,Just right,990,Unaware
c15bb785,2,165,F,45-54,Female,2-5 season,7,6,5,Just Right,990,Unaware
c58c2fca,2,292,GG,55-64,Male,11-20 season,5,6,3,Too few,7,Aware and have NOT used/received
f7b5c841,2,528,KK,45-54,Female,11-15 season,3,7,7,Too Many,8,Aware and have used/received
07c34824,2,165,B,35-44,Female,6-10 season,8,8,7,Too Few,990,Unaware
52275efa,2,340,OO,65+,Male,1 season,8,3,8,Too few,990,Unaware
ef050866,2,216,K,55-64,Male,2-5 season,10 - Extremely satisfied,2,2,Too Many,990,Unaware
9d46b2b5,2,203,II,65+,Female,21+ seasons,7,5,7,Just right,990,Unaware
37171ab5,2,518,JJ,45-54,Female,11-15 season,8,5,1 - Not at all satisfied,Just Right,990,Unaware
7c619dd4,2,343,M,55-64,Male,21+ seasons,7,3,1 - Not at all satisfied,Just Right,990,Unaware
266f2845,2,172,E,55-64,Female,2-5 season,8,3,7,Too Many,7,Aware and have used/received
5ba02bd4,2,432,EE,45-54,Male,11-20 season,5,9,6,Too few,990,Unaware
08d53837,2,286,S,65+,Male,21+ seasons,7,4,8,Too Many,4,Aware and have NOT used/received
bfc842e0,2,291,JJ,25-34,Male,11-15 season,6,10 - Extremely satisfied,10 - Extremely satisfied,Too Few,10 - Extremely satisfied,Aware and have used/received
b4188cc6,2,250,L,45-54,Female,11-20 season,8,5,10 - Extremely satisfied,Just right,990,Unaware
3bcd094b,2,214,L,55-64,Female,6-10 season,10 - Extremely satisfied,9,6,Just Right,5,Aware and have NOT used/received
8be9026c,2,305,FF,65+,Female,11-20 season,10 - Extremely satisfied,8,10 - Extremely satisfied,Too few,9,Aware and have NOT used/received
935b362b,2,133,Z,35-44,Male,11-15 season,8,9,10 - Extremely satisfied,Too Many,990,Unaware
fd8bbb02,2,536,O,65+,Male,11-20 season,9,1 - Not at all satisfied,7,Just right,990,Unaware
41c0176a,2,496,W,45-54,Male,6-10 season,10 - Extremely satisfied,10 - Extremely satisfied,7,Just Right,9,Aware and have NOT used/received
db1bec69,2,217,W,45-54,Male,2-5 season,7,5,9,Just right,990,Unaware
d41df309,2,503,EE,45-54,Female,11-15 season,5,3,4,Too Few,990,Unaware
fa0d3751,2,351,O,55-64,Male,1 season,8,3,10 - Extremely satisfied,Too Many,990,Unaware
d61aa302,2,418,F,65+,Female,2-5 season,8,2,990,Just Right,990,Unaware
0s1561a01,2,410,Y,55-64,Female,1 season,2,1 - Not at all satisfied,1 - Not at all satisfied,Too Many,990,Unaware
40dda1e7,2,112,B,45-54,Male,1 season,10 - Extremely satisfied,6,10 - Extremely satisfied,Just right,990,Aware and have NOT used/received
dacdec2e,2,199,J,65+,Male,21+ seasons,10 - Extremely satisfied,6,10 - Extremely satisfied,Just right,10 - Extremely satisfied,Aware and have NOT used/received
9fe4ee84,2,332,JJ,45-54,Female,11-15 season,10 - Extremely satisfied,990,9,Too Many,990,Unaware
89954018,2,82,B,Prefer not to answer,Female,21+ seasons,10 - Extremely satisfied,6,990,Too few,990,Unaware
55fe623e,2,140,P,65+,Male,11-20 season,7,6,9,Too few,990,Unaware
aadb9977,2,406,JJ,45-54,Female,21+ seasons,10 - Extremely satisfied,10 - Extremely satisfied,10 - Extremely satisfied,Just right,990,Unaware
d79387b4,2,229,J,55-64,Male,2-5 season,7,7,8,Just right,990,Unaware
d9fd5805,2,450,K,55-64,Female,2-5 season,4,10 - Extremely satisfied,5,Too Many,7,Aware and have used/received
fe333f15,2,545,MM,55-64,Male,2-5 season,7,6,8,Just right,8,Aware and have used/received
0d2e6a54,2,532,R,55-64,Male,1 season,10 - Extremely satisfied,1 - Not at all satisfied,5,Too Many,990,Unaware
74611de7,2,421,BB,45-54,Male,11-15 season,8,9,3,Too Few,990,Unaware
60ab43aa,2,419,NN,65+,Female,21+ seasons,8,8,8,Just right,8,Aware and have NOT used/received
9aaa2cf9,2,1,Q,35-44,Male,2-5 season,10 - Extremely satisfied,8,1 - Not at all satisfied,Just Right,7,Aware and have NOT used/received
9.06E+81,2,222,X,45-54,Male,2-5 season,9,5,7,Just right,990,Unaware
e9006dfe,2,179,N,65+,Male,21+ seasons,9,8,10 - Extremely satisfied,Just right,3,Aware and have NOT used/received
e4b32bd5,2,291,BB,45-54,Male,6-10 season,10 - Extremely satisfied,10 - Extremely satisfied,10 - Extremely satisfied,Too Few,990,Unaware
ec4a78e8,2,291,P,35-44,Male,1 season,9,6,6,Just right,990,Unaware
745395b5,2,499,O,65+,Male,1 season,9,7,5,Too Many,990,Aware and have NOT used/received
2e9b323a,2,221,W,35-44,Male,2-5 season,10 - Extremely satisfied,10 - Extremely satisfied,10 - Extremely satisfied,Just right,8,Aware and have NOT used/received
7c6763d1,2,484,DD,45-54,Male,11-15 season,9,5,1 - Not at all satisfied,Just Right,990,Unaware
0b1ec6ad,2,238,II,35-44,Male,16-20 season,5,4,8,Too Few,9,Aware and have NOT used/received
a635fe08,2,331,U,45-54,Male,6-10 season,8,4,5,Just Right,5,Aware and have NOT used/received
f657d926,2,452,I,55-64,Male,6-10 season,9,9,9,Too Many,3,Aware and have used/received
c5d4bcbd,2,82,O,55-64,Female,6-10 season,10 - Extremely satisfied,7,8,Just Right,7,Aware and have NOT used/received
4a40eda7,2,151,BB,65+,Male,2-5 season,7,8,10 - Extremely satisfied,Just right,6,Aware and have NOT used/received
9e84f58a,2,79,R,Prefer not to answer,Male,21+ seasons,9,6,9,Just right,990,Unaware
0beb3ead,2,253,KK,45-54,Male,1 season,5,5,9,Just right,9,Aware and have NOT used/received
fa995465,2,243,HH,25-34,Male,2-5 season,6,10 - Extremely satisfied,4,Too Few,990,Aware and have NOT used/received
e16f0747,2,424,BB,55-64,Male,2-5 season,10 - Extremely satisfied,8,10 - Extremely satisfied,Just right,990,Unaware
1227b7f5,2,148,R,25-34,Male,2-5 season,9,5,9,Just Right,3,Aware and have NOT used/received
a15acde0,2,317,OO,55-64,Male,6-10 season,10 - Extremely satisfied,5,10 - Extremely satisfied,Just right,990,Unaware
26064170,2,130,J,35-44,Female,6-10 season,2,10 - Extremely satisfied,6,Too Few,990,Aware and have NOT used/received
d4c428a1,2,285,F,45-54,Female,21+ seasons,2,10 - Extremely satisfied,4,Just Right,990,Unaware
4470031f,2,18,G,65+,Male,21+ seasons,2,6,1 - Not at all satisfied,Too Few,10 - Extremely satisfied,Aware and have used/received
1e8f8231,2,357,X,55-64,Female,21+ seasons,5,3,3,Too few,990,Unaware
4fb3786f,2,298,S,65+,Male,11-15 season,3,4,3,Just Right,3,Aware and have NOT used/received
9054670,2,281,CC,45-54,Female,6-10 season,8,5,6,Too Many,990,Aware and have NOT used/received
2952384f,2,448,D,55-64,Male,16-20 season,2,9,5,Too Many,990,Unaware
2d9878ac,2,550,G,35-44,Male,2-5 season,5,1 - Not at all satisfied,4,Just Right,990,Unaware
8ae9f9d9,2,543,J,45-54,Male,11-20 season,9,7,9,Just right,990,Unaware
b2088c3c,2,317,A,65+,Male,2-5 season,10 - Extremely satisfied,3,8,Too Few,990,Aware and have NOT used/received
2fbf8617,2,547,MM,45-54,Male,21+ seasons,2,3,4,Too few,990,Aware and have NOT used/received
5e17b5ec,2,309,V,45-54,Male,2-5 season,7,5,7,Just right,990,Unaware
973bade7,2,531,FF,65+,Female,1 season,5,6,10 - Extremely satisfied,Too Many,990,Unaware
b7c5ea7d,2,521,OO,45-54,Female,1 season,10 - Extremely satisfied,7,10 - Extremely satisfied,Just right,990,Aware and have NOT used/received
4814e860,2,299,A,45-54,Male,2-5 season,1 - Not at all satisfied,7,7,Just right,990,Unaware
b85f890e,2,544,X,65+,Female,6-10 season,8,7,10 - Extremely satisfied,Too Few,6,Aware and have used/received
b2ad2861,2,285,HH,55-64,Male,2-5 season,8,6,9,Just right,990,Unaware
3e25418c,2,214,AA,65+,Female,2-5 season,10 - Extremely satisfied,7,10 - Extremely satisfied,Too few,3,Aware and have NOT used/received
dc9973e6,2,271,E,25-34,Female,6-10 season,10 - Extremely satisfied,6,10 - Extremely satisfied,Just right,3,Aware and have NOT used/received
6d6dfbe2,2,222,N,55-64,Female,11-15 season,8,5,7,Too Many,990,Unaware
c0a9f71e,2,453,AA,45-54,Male,2-5 season,10 - Extremely satisfied,5,10 - Extremely satisfied,Just right,990,Unaware
e4f1486a,2,195,C,55-64,Male,11-20 season,9,4,7,Just right,2,Aware and have NOT used/received
39c2f680,2,355,U,35-44,Female,11-15 season,7,1 - Not at all satisfied,6,Just Right,5,Aware and have NOT used/received
7246bba5,2,549,P,55-64,Female,11-20 season,3,990,5,Just right,990,Aware and have NOT used/received
