,uuid,Wave,Section,Row,Age,Gender,Tenure,Ovr_Sat,Team_Sat,Comm_Sat,Comm_Freq,Benefit_Aware
40,391b20e5,1,250,O,55-64,Female,21+ seasons,3,9,9,Just Right,Unaware
41,d7c0dde8,1,401,H,55-64,Male,16-20 season,7,7,2,Just Right,Aware and have used/received
42,2d864063,1,374,P,35-44,Female,2-5 season,6,3,4,Just Right,Aware and have NOT used/received
43,81d592dc,1,381,I,35-44,Male,2-5 season,10,10,7,Too Few,Aware and have NOT used/received
44,b85b4b80,1,312,DD,65+,Male,21+ seasons,9,8,10,Just Right,Aware and have NOT used/received
45,2b867b2a,1,287,J,55-64,Male,11-20 season,8,5,7,Just Right,Aware and have NOT used/received
46,ed743212,1,149,F,45-54,Male,6-10 season,10,10,9,Too Few,Aware and have used/received
47,b5961493,1,510,L,55-64,Male,6-10 season,10,6,10,Just Right,Aware and have used/received
48,e9c21c8c,1,38,V,55-64,Male,21+ seasons,5,10,8,Just Right,Aware and have NOT used/received
49,de641e33,1,173,O,35-44,Male,1 season,9,5,5,Just Right,Aware and have NOT used/received
50,9d3b168c,1,353,DD,55-64,Male,21+ seasons,7,6,8,Just Right,Unaware
51,36e5718b,1,104,B,55-64,Female,2-5 season,9,6,1,Just Right,Aware and have NOT used/received
52,32783aaa,1,98,T,55-64,Male,21+ seasons,6,9,8,Too Few,Unaware
53,f05275f0,1,364,X,35-44,Male,2-5 season,10,7,8,Just Right,Aware and have NOT used/received
54,b98caff0,1,252,AA,55-64,Male,11-20 season,7,8,10,Just Right,Aware and have NOT used/received
55,49b2cbe0,1,474,T,45-54,Male,2-5 season,5,10,4,Just Right,Unaware
56,d6b7f4f7,1,494,HH,65+,Female,11-15 season,9,6,3,Too Few,Unaware
57,61880495,1,174,MM,25-34,Female,6-10 season,6,2,9,Too Many,Aware and have NOT used/received
58,88656add,1,121,K,45-54,Female,16-20 season,8,2,8,Too Few,Aware and have NOT used/received
59,8e4a5280,1,254,C,45-54,Male,21+ seasons,8,8,10,Just Right,Unaware
60,6c41dbee,1,532,O,55-64,Female,16-20 season,5,9,8,Too Few,Aware and have NOT used/received
61,cc023e8e,1,348,Y,45-54,Male,1 season,4,4,7,Just Right,Aware and have NOT used/received
62,8a9ebf79,1,200,S,55-64,Male,11-15 season,10,7,1,Too Many,Unaware
63,a1216d18,1,172,II,45-54,Female,11-15 season,9,2,6,Too Many,Unaware
64,e5a97221,1,16,W,45-54,Male,2-5 season,8,9,1,Too Few,Aware and have NOT used/received
65,3a4ced83,1,312,EE,65+,Male,21+ seasons,7,6,4,Too Many,Aware and have used/received
66,3690e63f,1,398,KK,65+,Female,21+ seasons,10,8,10,Just Right,Aware and have NOT used/received
67,9e2a7b02,1,276,H,65+,Female,21+ seasons,8,7,6,Just Right,Aware and have NOT used/received
68,fbb4fdd8,1,199,M,65+,Female,16-20 season,9,8,4,Just Right,Aware and have NOT used/received
69,02ce932e,1,464,H,55-64,Male,2-5 season,6,3,4,Too Many,Unaware
70,dcda9cf5,1,471,OO,65+,Male,21+ seasons,7,6,6,Just Right,Unaware
71,e9d10596,1,127,Y,55-64,Female,11-20 season,8,8,6,Too Few,Unaware
72,51d5e1ac,1,397,R,45-54,Female,6-10 season,10,7,4,Just Right,Aware and have NOT used/received
73,f8ccaab3,1,1,C,45-54,Male,6-10 season,6,8,4,Just Right,Aware and have NOT used/received
74,d8e62cde,1,248,KK,35-44,Female,2-5 season,9,5,6,Just Right,Unaware
75,a3d3f7b1,1,380,H,55-64,Male,21+ seasons,7,7,7,Too Many,Unaware
76,458fb165,1,455,HH,55-64,Male,2-5 season,9,6,8,Just Right,Aware and have used/received
77,c41804ad,1,248,E,65+,Female,16-20 season,8,2,4,Just Right,Aware and have NOT used/received
78,9fc71f59,1,280,MM,65+,Male,21+ seasons,5,5,8,Just Right,Unaware
79,780ee986,1,206,O,45-54,Male,16-20 season,7,4,10,Too Many,Unaware
80,29deb0be,1,46,Q,35-44,Male,2-5 season,10,8,6,Just Right,Aware and have NOT used/received
81,d4c5a779,1,253,L,55-64,Male,21+ seasons,8,4,5,Just Right,Unaware
82,4ca9059a,1,505,N,35-44,Female,2-5 season,9,6,8,Just Right,Unaware
83,c14d3f3f,1,478,C,55-64,Male,2-5 season,10,8,9,Just Right,Unaware
84,b4c7ef8b,1,204,J,45-54,Male,21+ seasons,6,8,6,Too Many,Aware and have NOT used/received
85,e4770b7b,1,119,J,65+,Male,21+ seasons,9,8,9,Just Right,Aware and have used/received
86,3123ee1f,1,346,U,55-64,Male,2-5 season,8,4,9,Just Right,Aware and have NOT used/received
87,6f088508,1,191,EE,55-64,Male,11-15 season,9,9,5,Just Right,Unaware
88,a7090298,1,107,P,45-54,Male,6-10 season,10,7,9,Just Right,Aware and have used/received
89,774f0351,1,345,JJ,55-64,Male,21+ seasons,6,1,5,Too Few,Unaware
90,655eb434,1,512,O,65+,Male,2-5 season,9,5,9,Just Right,Unaware
91,175139aa,1,128,A,45-54,Male,1 season,9,5,3,Too Many,Aware and have NOT used/received
92,3abd13e0,1,531,EE,65+,Male,21+ seasons,7,6,7,Too Few,Unaware
93,4f5fbb9c,1,107,X,65+,Male,2-5 season,10,8,6,Just Right,Unaware
94,4cf4bfe2,1,21,O,55-64,Female,6-10 season,9,9,3,Too Many,Unaware
95,df9b70f0,1,72,Z,55-64,Female,6-10 season,10,2,10,Too Few,Aware and have NOT used/received
96,5f571660,1,425,OO,55-64,Female,2-5 season,7,7,6,Just Right,Unaware
97,asdvk00n,1,123,Z,65+,Male,2-5 season,1,1,1,Too Many,Unaware
98,668130f7,1,419,MM,65+,Male,21+ seasons,5,2,3,Just Right,Unaware
99,f080eb19,1,463,T,65+,Female,6-10 season,10,5,6,Too Few,Unaware
100,bc8f13fc,1,172,LL,55-64,Male,16-20 season,5,10,10,Too Few,Unaware
101,6e248b39,1,169,BB,65+,Male,21+ seasons,8,7,1,Too Few,Unaware
102,8e240ea4,1,302,I,35-44,Female,11-15 season,8,4,10,Too Many,Unaware
103,e44091e3,1,356,Q,65+,Male,11-20 season,7,7,7,Just Right,Aware and have NOT used/received
104,edabee43,1,308,II,65+,Male,6-10 season,5,6,2,Just Right,Unaware
105,00e4ff92,1,219,LL,65+,Male,11-20 season,8,7,6,Just Right,Aware and have NOT used/received
106,ed78aa9b,1,197,AA,45-54,Male,1 season,10,9,4,Just Right,Aware and have NOT used/received
107,603fbf2b,1,406,JJ,55-64,Male,21+ seasons,7,8,9,Just Right,Unaware
108,b114731d,1,532,Q,55-64,Female,2-5 season,8,7,9,Just Right,Unaware
109,f4020ef3,1,130,G,35-44,Male,2-5 season,6,1,2,Too Few,Aware and have NOT used/received
110,dae95ecc,1,413,C,45-54,Female,11-15 season,9,6,3,Too Few,Unaware
111,af202cae,1,79,D,55-64,Female,6-10 season,8,5,8,Just Right,Unaware
112,93d5ee46,1,489,AA,65+,Female,21+ seasons,7,6,5,Too Few,Aware and have NOT used/received
113,c579993f,1,262,KK,35-44,Male,16-20 season,8,3,6,Too Many,Aware and have used/received
114,fa5eb909,1,516,JJ,45-54,Female,21+ seasons,5,7,3,Too Few,Unaware
115,05ffafc3,1,420,D,65+,Female,1 season,10,9,6,Too Many,Unaware
116,e4144ad8,1,137,B,65+,Male,6-10 season,7,3,8,Just Right,Unaware
117,fcad3b2c,1,253,GG,45-54,Male,11-15 season,9,9,6,Just Right,Unaware
118,d742cb14,1,14,J,Prefer not to answer,Male,21+ seasons,8,8,9,Just Right,Unaware
119,53aecfae,1,317,C,45-54,Male,11-15 season,7,2,2,Too Few,Unaware
120,10187c16,1,7,Z,55-64,Male,21+ seasons,10,6,8,Just Right,Unaware
121,b70e8bc6,1,465,P,45-54,Female,21+ seasons,7,4,6,Too Few,Unaware
122,5f4684fe,1,441,N,55-64,Prefer not to answer,11-20 season,5,4,6,Just Right,Unaware
123,d5ce1235,1,517,JJ,35-44,Male,2-5 season,8,5,4,Just Right,Unaware
124,de506a35,1,211,N,45-54,Female,2-5 season,3,3,4,Too Few,Unaware
125,ba1d983c,1,473,Q,55-64,Male,11-15 season,10,5,4,Just Right,Aware and have NOT used/received
126,3908ae1d,1,426,N,45-54,Male,21+ seasons,7,9,7,Too Few,Unaware
127,f6572e33,1,536,G,65+,Male,6-10 season,7,8,5,Too Few,Aware and have NOT used/received
128,36309bd1,1,251,JJ,55-64,Male,6-10 season,10,8,10,Just Right,Aware and have NOT used/received
129,6b54b928,1,117,T,55-64,Male,16-20 season,7,10,9,Too Many,Aware and have NOT used/received
130,528be6e1,1,83,O,35-44,Female,21+ seasons,9,7,9,Just Right,Unaware
131,038edd47,1,400,KK,55-64,Male,11-20 season,2,6,7,Just Right,Unaware
132,fc651501,1,347,R,65+,Male,21+ seasons,2,5,2,Too Few,Aware and have NOT used/received
133,b2461936,1,264,B,45-54,Male,2-5 season,10,1,6,Just Right,Aware and have NOT used/received
134,f22be3c6,1,141,O,35-44,Male,16-20 season,3,7,8,Just Right,Aware and have used/received
135,2e173f19,1,15,N,35-44,Female,16-20 season,10,3,6,Too Many,Unaware
136,ce36ec1f,1,263,EE,45-54,Male,21+ seasons,8,8,7,Just Right,Aware and have used/received
137,29158cbf,1,448,HH,45-54,Male,2-5 season,9,8,9,Just Right,Aware and have NOT used/received
138,d47ca288,1,200,X,65+,Male,21+ seasons,10,4,10,Just Right,Aware and have NOT used/received
139,ccee12a1,1,68,J,35-44,Male,11-20 season,9,7,8,Just Right,Unaware
140,37aa22e1,1,510,O,45-54,Male,21+ seasons,8,8,10,Just Right,Aware and have NOT used/received
141,2736107f,1,491,DD,65+,Female,11-15 season,5,10,5,Just Right,Unaware
142,a7644ddc,1,43,V,55-64,Male,6-10 season,6,7,2,Too Few,Aware and have used/received
143,4552b454,1,335,W,45-54,Male,21+ seasons,8,1,3,Too Many,Unaware
144,1e9c1e6b,1,338,Q,55-64,Male,11-20 season,7,7,7,Just Right,Unaware
145,abecf97f,1,181,M,55-64,Female,21+ seasons,5,5,8,Just Right,Unaware
146,6f292eb7,1,335,H,45-54,Male,2-5 season,9,5,10,Too Many,Aware and have NOT used/received
147,a42afc8c,1,504,N,65+,Female,21+ seasons,9,8,8,Too Few,Aware and have used/received
148,dba213e4,1,352,G,65+,Male,21+ seasons,8,8,5,Just Right,Unaware
149,98f59fa8,1,295,X,55-64,Female,6-10 season,9,9,8,Just Right,Aware and have NOT used/received
150,ac387a74,1,83,S,45-54,Male,6-10 season,6,6,1,Just Right,Unaware
151,a5bf8ea4,1,107,X,65+,Prefer not to answer,21+ seasons,7,7,7,Just Right,Unaware
152,0770b971,1,289,A,55-64,Male,2-5 season,8,9,7,Just Right,Aware and have NOT used/received
153,dc45ed59,1,105,V,45-54,Male,6-10 season,10,2,3,Too Many,Aware and have NOT used/received
154,a3807ee4,1,402,P,35-44,Female,2-5 season,5,3,6,Too Many,Unaware
155,c67ef82f,1,483,HH,25-34,Female,21+ seasons,8,4,4,Too Many,Unaware
156,b140abcd,1,262,H,65+,Male,21+ seasons,4,5,5,Just Right,Aware and have NOT used/received
157,baa49d29,1,80,J,65+,Male,11-15 season,9,7,3,Too Few,Unaware
158,e9fa5098,1,71,Y,65+,Male,21+ seasons,10,10,10,Just Right,Unaware
159,fb716ee9,1,495,JJ,45-54,Male,11-20 season,6,4,8,Just Right,Unaware
160,fe75dd34,1,90,I,45-54,Male,21+ seasons,6,7,10,Just Right,Aware and have NOT used/received
161,c96e015f,1,203,KK,45-54,Female,11-15 season,10,3,8,Just Right,Aware and have NOT used/received
162,962804c3,1,33,U,65+,Male,21+ seasons,8,8,7,Just Right,Unaware
163,81df56ed,1,324,EE,65+,Male,21+ seasons,7,2,6,Too Few,Unaware
164,fbca56e9,1,361,B,45-54,Male,2-5 season,7,6,7,Just Right,Aware and have NOT used/received
165,f099846d,1,153,KK,45-54,Male,6-10 season,10,6,10,Just Right,Aware and have NOT used/received
166,ed2a90ae,1,524,D,65+,Male,21+ seasons,2,5,4,Too Many,Aware and have NOT used/received
167,c6c1f9ce,1,4,M,45-54,Female,2-5 season,8,9,10,Just Right,Aware and have NOT used/received
168,2858e5ab,1,213,Z,45-54,Male,2-5 season,8,8,8,Just Right,Unaware
169,831e8f72,1,264,V,45-54,Male,1 season,6,8,5,Just Right,Aware and have NOT used/received
170,d9269d08,1,28,G,45-54,Female,2-5 season,9,6,6,Just Right,Aware and have NOT used/received
171,4bf05703,1,375,DD,55-64,Female,2-5 season,10,2,6,Too Few,Unaware
172,4a955a5b,1,391,I,45-54,Male,6-10 season,9,6,7,Just Right,Unaware
173,d4249f84,1,503,W,45-54,Female,6-10 season,9,4,3,Too Few,Aware and have NOT used/received
174,d74252c3,1,476,B,45-54,Male,2-5 season,6,1,6,Just Right,Unaware
175,8334fce2,1,365,AA,65+,Male,2-5 season,7,7,1,Too Many,Unaware
176,8efe8d20,1,224,LL,55-64,Female,16-20 season,6,1,7,Too Many,Aware and have NOT used/received
177,6c90d64c,1,196,O,45-54,Female,21+ seasons,10,6,5,Too Few,Aware and have NOT used/received
178,35dece0a,1,382,Z,45-54,Male,2-5 season,8,6,7,Too Few,Aware and have NOT used/received
179,1c857b19,1,463,D,65+,Male,1 season,7,6,8,Too Many,Aware and have NOT used/received
180,3db69608,1,293,FF,25-34,Male,2-5 season,7,1,2,Just Right,Aware and have NOT used/received
181,41849591,1,124,B,35-44,Male,2-5 season,9,4,2,Too Few,Aware and have NOT used/received
182,05be0b7a,1,449,B,55-64,Male,2-5 season,8,5,4,Too Many,Unaware
183,de6c850c,1,495,A,65+,Female,2-5 season,4,10,8,Too Many,Aware and have used/received
184,9cacc50f,1,500,S,45-54,Male,11-15 season,9,9,3,Too Many,Unaware
185,b955df11,1,257,V,55-64,Male,21+ seasons,6,5,5,Too Few,Unaware
186,adbd4df1,1,173,LL,35-44,Male,11-20 season,9,6,8,Just Right,Aware and have NOT used/received
187,d2a632f1,1,177,N,45-54,Male,6-10 season,8,8,8,Just Right,Unaware
188,26f7d3a1,1,417,OO,55-64,Male,2-5 season,6,8,5,Just Right,Unaware
189,66d5f7e8,1,488,Y,55-64,Female,6-10 season,9,4,8,Too Many,Aware and have NOT used/received
190,89dc97a8,1,287,H,65+,Male,11-20 season,5,8,9,Just Right,Unaware
191,6779b600,1,399,J,35-44,Female,6-10 season,5,1,3,Just Right,Aware and have NOT used/received
192,0eabaa04,1,187,HH,55-64,Female,6-10 season,9,2,9,Just Right,Aware and have NOT used/received
193,88abeec0,1,48,J,55-64,Female,21+ seasons,10,2,8,Just Right,Aware and have NOT used/received
194,70b16f31,1,486,I,65+,Male,21+ seasons,8,7,9,Just Right,Aware and have NOT used/received
195,74a2f2a9,1,433,U,45-54,Male,2-5 season,10,10,10,Just Right,Unaware
196,fde34d59,1,287,H,55-64,Male,2-5 season,9,8,8,Just Right,Aware and have NOT used/received
197,efd6a244,1,69,E,65+,Male,16-20 season,10,4,5,Too Many,Aware and have NOT used/received
198,85bab44e,1,10,Y,45-54,Male,2-5 season,9,7,7,Just Right,Unaware
199,e80d8f48,1,72,C,45-54,Male,21+ seasons,10,10,10,Just Right,Aware and have NOT used/received
200,e393a4cb,1,537,HH,55-64,Female,2-5 season,10,2,8,Too Many,Unaware
201,e73e76f6,1,217,X,55-64,Male,6-10 season,7,4,7,Just Right,Aware and have NOT used/received
202,0345c04c,1,55,X,45-54,Female,2-5 season,8,3,3,Too Few,Unaware
203,249cb0f9,1,517,I,55-64,Female,2-5 season,5,3,5,Too Few,Unaware
204,5a33db04,1,182,G,65+,Female,21+ seasons,4,6,9,Too Few,Unaware
205,7a9e5eed,1,388,H,65+,Female,21+ seasons,9,7,7,Just Right,Aware and have used/received
206,781fa062,1,264,S,45-54,Male,2-5 season,7,4,1,Just Right,Aware and have NOT used/received
207,3346e850,1,338,B,65+,Male,21+ seasons,8,8,7,Just Right,Unaware
208,696a7bc6,1,341,G,65+,Male,11-20 season,1,8,10,Too Many,Aware and have NOT used/received
209,533dd2d8,1,385,GG,55-64,Female,16-20 season,7,1,6,Just Right,Aware and have NOT used/received
210,cde14671,1,525,F,55-64,Female,6-10 season,7,1,3,Just Right,Unaware
211,b43f45ed,1,467,EE,25-34,Male,16-20 season,2,5,1,Too Few,Aware and have used/received
212,fa5c8e05,1,39,S,45-54,Female,6-10 season,7,6,8,Just Right,Aware and have used/received
213,bae3fd4d,1,140,Z,65+,Female,21+ seasons,7,7,1,Too Few,Unaware
214,674f386e,1,360,HH,55-64,Female,1 season,8,2,1,Just Right,Aware and have NOT used/received
215,c479b89e,1,333,Y,65+,Female,21+ seasons,5,7,7,Just Right,Unaware
216,ab9991b4,1,110,N,45-54,Male,11-20 season,8,8,8,Just Right,Aware and have NOT used/received
217,1d71ebdb,1,391,D,55-64,Male,21+ seasons,8,8,10,Just Right,Aware and have NOT used/received
218,cd6952e9,1,406,U,55-64,Female,2-5 season,7,2,4,Just Right,Unaware
219,75550e7c,1,6,S,65+,Male,6-10 season,10,8,10,Just Right,Unaware
220,8ad450fe,1,190,EE,35-44,Female,6-10 season,8,10,6,Just Right,Aware and have NOT used/received
221,77e17fa1,1,286,EE,45-54,Female,2-5 season,5,7,2,Too Many,Unaware
222,477c65e2,1,69,V,55-64,Female,2-5 season,10,10,1,Just Right,Unaware
223,11b29597,1,296,I,35-44,Male,6-10 season,3,5,7,Just Right,Aware and have NOT used/received
224,4516d7d8,1,355,Z,25-34,Female,6-10 season,8,10,6,Too Few,Unaware
225,83ca3aa4,1,173,DD,45-54,Male,21+ seasons,9,10,6,Just Right,Unaware
226,618dc37d,1,546,KK,55-64,Male,11-15 season,1,3,4,Too Few,Unaware
227,ce2df6c6,1,240,BB,35-44,Male,2-5 season,10,1,2,Too Few,Unaware
228,4c6c064f,1,377,KK,45-54,Female,11-20 season,8,7,6,Just Right,Unaware
229,74815757,1,380,J,Prefer not to answer,Male,21+ seasons,6,6,5,Just Right,Unaware
230,d05edcb4,1,496,EE,55-64,Male,11-20 season,8,6,7,Just Right,Unaware
231,365467d7,1,199,AA,55-64,Male,2-5 season,8,1,1,Just Right,Aware and have NOT used/received
232,10387f5c,1,365,Y,45-54,Female,11-15 season,5,3,4,Too Few,Unaware
233,ad331379,1,209,A,55-64,Female,1 season,9,8,3,Just Right,Aware and have NOT used/received
234,1df98f05,1,458,S,55-64,Female,6-10 season,8,5,1,Too Many,Unaware
235,d9b8db69,1,472,I,55-64,Male,21+ seasons,7,6,4,Too Few,Aware and have used/received
236,65bac742,1,372,F,25-34,Female,6-10 season,2,4,5,Too Few,Unaware
237,41abb971,1,246,B,45-54,Female,16-20 season,8,2,6,Too Few,Aware and have NOT used/received
238,35684610,1,64,K,65+,Male,21+ seasons,8,6,8,Just Right,Aware and have used/received
239,506358a2,1,7,T,Prefer not to answer,Female,21+ seasons,8,8,8,Just Right,Aware and have NOT used/received
240,007a3e5a,1,501,E,55-64,Male,11-15 season,8,7,1,Too Many,Unaware
241,6483f2c5,1,419,B,45-54,Female,2-5 season,10,8,8,Just Right,Unaware
242,c6f01519,1,500,Z,65+,Male,21+ seasons,8,3,6,Just Right,Aware and have NOT used/received
243,4ff7b3c4,1,201,KK,55-64,Male,2-5 season,10,6,6,Just Right,Aware and have NOT used/received
244,7595b281,1,319,F,65+,Male,11-15 season,9,3,3,Too Few,Aware and have NOT used/received
245,cf6ba99c,1,46,T,55-64,Female,6-10 season,8,9,9,Too Few,Aware and have NOT used/received
246,3b367dee,1,397,Y,55-64,Male,21+ seasons,6,7,6,Just Right,Aware and have NOT used/received
247,e0405243,1,345,S,35-44,Female,11-15 season,4,6,5,Too Few,Aware and have NOT used/received
248,2a9bb989,1,409,OO,65+,Male,21+ seasons,1,1,1,Too Few,Aware and have NOT used/received
249,6559f259,1,9,K,45-54,Male,2-5 season,8,5,6,Too Many,Unaware
250,af01204e,1,6,B,55-64,Male,21+ seasons,4,1,1,Too Few,Unaware
251,ee5613e0,1,36,S,65+,Male,21+ seasons,8,2,8,Just Right,Unaware
252,01e7c3f4,1,73,T,35-44,Male,11-15 season,2,7,7,Too Many,Unaware
253,65ea12c8,1,216,P,65+,Male,11-20 season,7,5,7,Just Right,Unaware
254,0ce894f5,1,417,NN,45-54,Male,6-10 season,8,1,7,Just Right,Unaware
255,ca5fd41e,1,35,A,45-54,Female,21+ seasons,8,10,5,Just Right,Unaware
256,68fbdde3,1,311,JJ,55-64,Male,21+ seasons,7,6,7,Too Few,Aware and have NOT used/received
257,1ba08711,1,10,E,Prefer not to answer,Female,21+ seasons,1,1,3,Too Few,Aware and have NOT used/received
258,b1411515,1,79,Q,55-64,Female,11-15 season,10,10,9,Just Right,Aware and have NOT used/received
259,dd841314,1,427,W,45-54,Male,6-10 season,7,4,7,Just Right,Aware and have NOT used/received
260,f93a2134,1,309,EE,35-44,Male,16-20 season,6,4,3,Too Few,Unaware
261,3b10af9c,1,206,OO,65+,Male,21+ seasons,8,7,9,Just Right,Unaware
262,9707a03c,1,291,MM,45-54,Female,11-15 season,9,3,8,Too Few,Aware and have NOT used/received
263,f35ee330,1,41,K,65+,Male,6-10 season,7,3,8,Too Many,Aware and have used/received
264,d4207bd0,1,457,FF,55-64,Male,2-5 season,10,8,10,Just Right,Aware and have NOT used/received
265,60923acd,1,5,R,45-54,Male,2-5 season,7,6,6,Just Right,Aware and have NOT used/received
266,161c7c8c,1,65,U,45-54,Male,2-5 season,9,7,8,Just Right,Unaware
267,df8d1228,1,266,MM,55-64,Female,2-5 season,5,8,2,Just Right,Aware and have NOT used/received
268,f9ea8ef2,1,458,JJ,35-44,Male,16-20 season,6,4,10,Too Few,Aware and have NOT used/received
269,bb9a2fff,1,478,O,Prefer not to answer,Male,6-10 season,1,5,9,Just Right,Aware and have NOT used/received
270,2ac6e069,1,364,LL,65+,Female,16-20 season,7,5,5,Just Right,Unaware
271,04ea726a,1,167,K,65+,Female,21+ seasons,8,7,8,Just Right,Unaware
272,98f7cca1,1,145,I,45-54,Female,16-20 season,10,8,5,Too Few,Unaware
273,f27d0002,1,308,N,55-64,Male,6-10 season,1,9,4,Too Few,Unaware
274,006c92a1,1,486,B,55-64,Male,21+ seasons,9,3,6,Just Right,Unaware
275,6cfd2110,1,258,A,55-64,Male,6-10 season,3,8,4,Just Right,Aware and have NOT used/received
276,1672a38b,1,447,NN,55-64,Male,11-20 season,5,5,8,Just Right,Unaware
277,96413676,1,8,Y,65+,Male,21+ seasons,6,7,8,Just Right,Unaware
278,e3132341,1,94,N,35-44,Female,1 season,8,10,7,Too Few,Unaware
279,54485c93,1,363,DD,55-64,Male,21+ seasons,3,1,3,Just Right,Unaware
280,9cced399,1,476,W,25-34,Female,6-10 season,8,8,1,Too Few,Unaware
281,6a2f7b0f,1,152,W,25-34,Female,2-5 season,5,3,9,Too Few,Aware and have NOT used/received
282,33c4c90b,1,198,P,45-54,Male,16-20 season,3,9,8,Too Many,Aware and have used/received
283,5c65e90a,1,513,F,55-64,Male,2-5 season,9,7,10,Just Right,Unaware
284,c150c615,1,426,U,55-64,Male,21+ seasons,3,4,4,Too Few,Aware and have used/received
285,c28c60eb,1,346,S,65+,Male,11-20 season,3,2,5,Just Right,Aware and have NOT used/received
286,0beaeaad,1,83,A,45-54,Male,11-20 season,9,8,10,Just Right,Aware and have NOT used/received
287,90003cb9,1,401,A,55-64,Female,2-5 season,3,6,2,Just Right,Aware and have NOT used/received
288,c18385f9,1,112,O,55-64,Male,11-20 season,6,3,6,Just Right,Aware and have NOT used/received
289,d4a783ef,1,351,LL,55-64,Male,6-10 season,9,4,7,Just Right,Aware and have NOT used/received
290,a2d5b049,1,187,R,Prefer not to answer,Prefer not to answer,21+ seasons,3,9,3,Just Right,Unaware
291,2a75fc70,1,324,R,45-54,Female,6-10 season,9,1,10,Too Many,Unaware
