,uuid,Wave,Section,Row,Age,Gender,Tenure,Ovr_Sat,Team_Sat,Comm_Sat,Comm_Freq,Benefit_Aware
56,b2a900cf,2,293,O,45-54,Male,11-20 season,3,6,5,Just Right,Aware and have NOT used/received
57,0715a4b9,2,550,L,55-64,Male,21+ seasons,5,4,5,Just Right,Unaware
58,4e053b6d,2,245,GG,45-54,Male,2-5 season,10,1,6,Just Right,Aware and have used/received
59,c39bdccb,2,407,H,55-64,Female,1 season,7,6,6,Too Few,Unaware
60,470654cb,2,301,LL,35-44,Male,6-10 season,5,5,8,Too Few,Aware and have NOT used/received
61,0456977c,2,419,X,65+,Male,21+ seasons,7,5,7,Just Right,Unaware
62,49afbe27,2,363,I,35-44,Male,1 season,10,5,10,Just Right,Unaware
63,7ea88b91,2,144,V,65+,Male,21+ seasons,1,1,1,Too Few,Aware and have NOT used/received
64,fbdcbdcd,2,342,A,45-54,Male,1 season,3,1,10,Just Right,Aware and have NOT used/received
65,bd34e19e,2,353,H,55-64,Male,2-5 season,10,7,10,Just Right,Unaware
66,0f222558,2,264,E,55-64,Male,16-20 season,9,10,8,Too Many,Unaware
67,7191cd0c,2,98,O,25-34,Female,16-20 season,8,5,8,Too Many,Aware and have NOT used/received
68,8abafdf4,2,157,M,45-54,Female,11-15 season,6,6,7,Too Many,Aware and have used/received
69,9f543c69,2,153,M,55-64,Male,2-5 season,9,4,8,Just Right,Aware and have NOT used/received
70,c6d4f35a,2,428,J,65+,Male,21+ seasons,9,8,10,Just Right,Aware and have NOT used/received
71,fcc6a52a,2,276,W,55-64,Male,2-5 season,7,7,7,Just Right,Aware and have NOT used/received
72,841c5a98,2,531,HH,35-44,Male,16-20 season,8,9,8,Too Few,Aware and have NOT used/received
73,35cf746d,2,132,I,65+,Female,21+ seasons,5,8,9,Just Right,Unaware
74,ba3aca18,2,531,L,25-34,Female,6-10 season,2,7,3,Too Many,Aware and have NOT used/received
75,4972a971,2,106,CC,55-64,Female,21+ seasons,4,5,5,Just Right,Aware and have NOT used/received
76,83990c2c,2,32,J,55-64,Female,16-20 season,6,7,6,Just Right,Unaware
77,c9bb0014,2,103,W,55-64,Male,2-5 season,8,7,7,Too Few,Unaware
78,57f70ff1,2,474,E,65+,Female,21+ seasons,8,7,7,Just Right,Aware and have NOT used/received
79,2be43c3f,2,405,CC,45-54,Female,11-15 season,9,7,4,Too Many,Aware and have NOT used/received
80,75068387,2,64,X,35-44,Female,16-20 season,10,9,1,Too Few,Aware and have NOT used/received
81,f33e98fa,2,497,EE,65+,Male,21+ seasons,9,7,10,Just Right,Aware and have NOT used/received
82,66f63fa2,2,362,J,55-64,Male,11-20 season,8,3,6,Just Right,Aware and have NOT used/received
83,7ccf6b88,2,175,R,45-54,Male,11-20 season,5,1,7,Just Right,Aware and have NOT used/received
84,e35a580f,2,428,X,45-54,Male,2-5 season,8,7,9,Just Right,Unaware
85,b8832332,2,470,S,45-54,Male,2-5 season,9,3,5,Just Right,Aware and have NOT used/received
86,84288f61,2,456,N,45-54,Male,6-10 season,10,1,7,Just Right,Aware and have NOT used/received
87,6e814687,2,287,X,25-34,Male,21+ seasons,9,7,6,Too Many,Unaware
88,0f0564cf,2,350,Z,35-44,Male,2-5 season,9,2,10,Just Right,Unaware
89,267dddca,2,466,HH,65+,Female,21+ seasons,6,5,7,Just Right,Aware and have NOT used/received
90,d4bfc793,2,152,EE,25-34,Female,2-5 season,9,2,3,Too Few,Aware and have NOT used/received
91,25734bb0,2,13,G,45-54,Male,6-10 season,7,10,3,Too Many,Unaware
92,084e3b78,2,277,NN,55-64,Male,21+ seasons,8,4,1,Too Many,Aware and have NOT used/received
93,e40c1ae2,2,261,KK,25-34,Male,11-20 season,9,6,10,Just Right,Unaware
94,858191a6,2,387,BB,65+,Male,21+ seasons,7,5,10,Too Many,Aware and have NOT used/received
95,67a387be,2,444,G,25-34,Male,21+ seasons,9,6,8,Just Right,Unaware
96,c0937343,2,288,M,65+,Male,16-20 season,5,4,2,Too Few,Aware and have used/received
97,bbc31c95,2,131,W,25-34,Male,2-5 season,8,7,10,Just Right,Aware and have NOT used/received
98,71ef7368,2,406,LL,45-54,Male,2-5 season,9,5,8,Just Right,Unaware
99,7771b48d,2,174,G,65+,Male,21+ seasons,2,1,7,Just Right,Unaware
100,7c954068,2,225,M,55-64,Male,2-5 season,10,5,10,Just Right,Unaware
101,24db7736,2,134,LL,65+,Female,21+ seasons,5,2,5,Just Right,Aware and have NOT used/received
102,827fd9bc,2,169,E,65+,Male,21+ seasons,5,2,5,Too Few,Unaware
103,dc142c78,2,391,U,45-54,Male,11-15 season,5,4,6,Too Few,Aware and have used/received
104,5b1a1c15,2,191,I,65+,Female,6-10 season,10,1,7,Too Many,Aware and have NOT used/received
105,fa8809b6,2,112,MM,45-54,Female,6-10 season,6,3,5,Just Right,Unaware
106,d84d6d00,2,307,MM,65+,Female,6-10 season,10,10,10,Just Right,Aware and have used/received
107,5dc53854,2,453,P,55-64,Female,16-20 season,4,2,7,Too Many,Aware and have NOT used/received
108,8f28ceda,2,20,E,65+,Male,11-15 season,9,9,3,Just Right,Unaware
109,8428a3ae,2,485,H,45-54,Female,2-5 season,9,1,6,Too Few,Aware and have NOT used/received
110,3ccbfa65,2,253,D,65+,Male,21+ seasons,8,5,8,Just Right,Unaware
111,f37356c9,2,170,I,65+,Male,11-15 season,10,7,5,Just Right,Aware and have NOT used/received
112,efbe1cad,2,39,G,55-64,Female,16-20 season,7,1,5,Too Few,Aware and have NOT used/received
113,eaa18949,2,284,Q,45-54,Male,6-10 season,10,3,1,Too Many,Unaware
114,3b25adef,2,216,Y,35-44,Female,6-10 season,5,1,2,Just Right,Aware and have used/received
115,f346b667,2,4,U,55-64,Male,21+ seasons,6,1,2,Too Few,Aware and have NOT used/received
116,be4bc896,2,518,Q,35-44,Male,1 season,8,3,10,Just Right,Aware and have used/received
117,cb323fa4,2,5,X,45-54,Male,6-10 season,10,6,6,Too Few,Aware and have NOT used/received
118,9297d5ac,2,99,D,55-64,Male,21+ seasons,9,7,9,Just Right,Unaware
119,d1a9a7c0,2,436,Y,55-64,Female,16-20 season,6,4,9,Just Right,Unaware
120,3cac4497,2,506,EE,45-54,Male,2-5 season,9,6,6,Too Few,Unaware
121,a4736820,2,455,EE,55-64,Male,6-10 season,7,8,7,Just Right,Aware and have NOT used/received
122,8237470f,2,396,J,55-64,Male,16-20 season,10,8,8,Just Right,Unaware
123,79a2f8bd,2,266,M,45-54,Male,2-5 season,9,5,8,Just Right,Unaware
124,bbe59db2,2,271,P,45-54,Female,11-15 season,7,7,5,Too Many,Aware and have NOT used/received
125,4cdb35dd,2,192,N,55-64,Male,1 season,10,8,10,Just Right,Unaware
126,04a8e0c5,2,237,Q,45-54,Prefer not to answer,1 season,7,2,6,Just Right,Aware and have NOT used/received
127,67a8be4b,2,357,S,45-54,Male,11-15 season,7,6,4,Too Many,Aware and have used/received
128,3c75c115,2,364,CC,25-34,Male,11-15 season,10,6,1,Too Few,Aware and have NOT used/received
129,eed924b5,2,532,L,45-54,Male,6-10 season,6,9,3,Just Right,Unaware
130,b4cbf983,2,272,CC,35-44,Female,11-20 season,1,3,1,Too Many,Aware and have NOT used/received
131,7a165542,2,549,JJ,45-54,Male,11-20 season,7,6,7,Too Many,Aware and have used/received
132,94d2adc0,2,216,M,45-54,Male,1 season,8,7,9,Just Right,Aware and have NOT used/received
133,a04c5858,2,10,F,55-64,Male,2-5 season,8,1,3,Too Few,Unaware
134,d7880e52,2,431,BB,55-64,Male,6-10 season,8,4,8,Just Right,Aware and have NOT used/received
135,b6da39b7,2,153,E,45-54,Male,1 season,7,3,1,Just Right,Aware and have used/received
136,033c7b19,2,147,OO,45-54,Male,21+ seasons,10,5,8,Just Right,Aware and have used/received
137,98ead98a,2,256,U,45-54,Female,6-10 season,10,10,6,Just Right,Aware and have NOT used/received
138,7891b801,2,440,F,65+,Female,21+ seasons,7,4,4,Too Many,Unaware
139,6b929b70,2,203,KK,55-64,Female,11-20 season,9,5,9,Just Right,Aware and have used/received
140,a9aa6791,2,180,S,45-54,Male,11-20 season,8,3,7,Just Right,Unaware
141,7a64fa0d,2,19,K,45-54,Male,6-10 season,3,7,3,Too Few,Aware and have used/received
142,36961028,2,63,I,55-64,Male,6-10 season,9,6,7,Just Right,Aware and have used/received
143,88961af2,2,336,M,45-54,Male,2-5 season,10,7,10,Just Right,Unaware
144,9f8bf78d,2,549,R,55-64,Male,6-10 season,8,5,8,Too Few,Unaware
145,6c10dda7,2,56,Z,55-64,Female,16-20 season,5,1,8,Just Right,Unaware
146,ddd43337,2,457,H,45-54,Female,2-5 season,9,6,9,Too Many,Aware and have used/received
147,8f593a7d,2,430,V,45-54,Male,11-15 season,10,5,5,Too Many,Unaware
148,488ce132,2,132,AA,45-54,Female,1 season,9,8,8,Just Right,Aware and have NOT used/received
149,ddaf39da,2,67,Y,35-44,Female,11-15 season,10,4,4,Too Many,Unaware
150,91c770b7,2,405,AA,55-64,Male,6-10 season,9,3,2,Too Many,Unaware
151,3e10d30d,2,98,M,45-54,Male,6-10 season,8,8,8,Just Right,Unaware
152,64bcdba4,2,319,HH,45-54,Male,11-20 season,8,6,9,Just Right,Aware and have NOT used/received
153,d5a62192,2,408,C,55-64,Male,6-10 season,7,8,3,Just Right,Aware and have NOT used/received
154,a9fe4b8b,2,172,GG,55-64,Male,11-20 season,6,1,5,Just Right,Unaware
155,983e246b,2,324,B,45-54,Male,2-5 season,8,6,7,Too Few,Aware and have NOT used/received
156,201bf133,2,170,DD,65+,Female,6-10 season,7,10,6,Too Many,Aware and have NOT used/received
157,6a6cb69c,2,403,K,45-54,Female,21+ seasons,10,9,3,Just Right,Unaware
158,df4766d1,2,260,DD,65+,Female,6-10 season,10,8,8,Too Few,Aware and have NOT used/received
159,72432bbc,2,193,H,35-44,Male,1 season,10,5,10,Just Right,Unaware
160,22c650a0,2,121,L,55-64,Male,11-15 season,8,8,4,Too Many,Unaware
161,794fae2c,2,301,MM,55-64,Male,11-20 season,7,7,7,Just Right,Aware and have NOT used/received
162,165s684q,2,124,S,35-44,Male,11-15 season,1,1,3,Just Right,Aware and have used/received
163,7.37E+06,2,428,H,45-54,Male,6-10 season,9,8,9,Just Right,Unaware
164,175c8517,2,538,T,45-54,Female,6-10 season,5,1,9,Just Right,Aware and have used/received
165,add500bd,2,172,N,45-54,Male,2-5 season,10,5,7,Just Right,Aware and have used/received
166,0648d908,2,398,F,65+,Male,2-5 season,10,6,10,Just Right,Aware and have NOT used/received
167,f4203e00,2,375,AA,45-54,Male,11-20 season,8,2,6,Just Right,Unaware
168,07becf2e,2,175,W,45-54,Male,1 season,8,3,5,Too Many,Aware and have NOT used/received
169,2967d346,2,366,FF,45-54,Female,2-5 season,5,5,9,Too Few,Unaware
170,0b2868eb,2,439,N,55-64,Male,21+ seasons,10,8,10,Just Right,Aware and have NOT used/received
171,132db205,2,542,E,45-54,Male,2-5 season,10,5,10,Just Right,Aware and have NOT used/received
172,28158da6,2,24,A,55-64,Male,2-5 season,10,9,10,Just Right,Aware and have used/received
173,ee94c377,2,199,G,55-64,Male,11-20 season,10,8,10,Just Right,Aware and have NOT used/received
174,a75cf04d,2,266,Q,65+,Male,21+ seasons,5,6,7,Just Right,Unaware
175,c15bb785,2,165,F,45-54,Female,2-5 season,7,6,5,Just Right,Unaware
176,c58c2fca,2,292,GG,55-64,Male,11-20 season,5,6,3,Too Few,Aware and have NOT used/received
177,f7b5c841,2,528,KK,45-54,Female,11-15 season,3,7,7,Too Many,Aware and have used/received
178,07c34824,2,165,B,35-44,Female,6-10 season,8,8,7,Too Few,Unaware
179,52275efa,2,340,OO,65+,Male,1 season,8,3,8,Too Few,Unaware
180,ef050866,2,216,K,55-64,Male,2-5 season,10,2,2,Too Many,Unaware
181,9d46b2b5,2,203,II,65+,Female,21+ seasons,7,5,7,Just Right,Unaware
182,37171ab5,2,518,JJ,45-54,Female,11-15 season,8,5,1,Just Right,Unaware
183,7c619dd4,2,343,M,55-64,Male,21+ seasons,7,3,1,Just Right,Unaware
184,266f2845,2,172,E,55-64,Female,2-5 season,8,3,7,Too Many,Aware and have used/received
185,5ba02bd4,2,432,EE,45-54,Male,11-20 season,5,9,6,Too Few,Unaware
186,08d53837,2,286,S,65+,Male,21+ seasons,7,4,8,Too Many,Aware and have NOT used/received
187,bfc842e0,2,291,JJ,25-34,Male,11-15 season,6,10,10,Too Few,Aware and have used/received
188,b4188cc6,2,250,L,45-54,Female,11-20 season,8,5,10,Just Right,Unaware
189,3bcd094b,2,214,L,55-64,Female,6-10 season,10,9,6,Just Right,Aware and have NOT used/received
190,8be9026c,2,305,FF,65+,Female,11-20 season,10,8,10,Too Few,Aware and have NOT used/received
191,935b362b,2,133,Z,35-44,Male,11-15 season,8,9,10,Too Many,Unaware
192,fd8bbb02,2,536,O,65+,Male,11-20 season,9,1,7,Just Right,Unaware
193,41c0176a,2,496,W,45-54,Male,6-10 season,10,10,7,Just Right,Aware and have NOT used/received
194,db1bec69,2,217,W,45-54,Male,2-5 season,7,5,9,Just Right,Unaware
195,d41df309,2,503,EE,45-54,Female,11-15 season,5,3,4,Too Few,Unaware
196,fa0d3751,2,351,O,55-64,Male,1 season,8,3,10,Too Many,Unaware
197,d61aa302,2,418,F,65+,Female,2-5 season,8,2,7,Just Right,Unaware
198,0s1561a01,2,410,Y,55-64,Female,1 season,2,1,1,Too Many,Unaware
199,40dda1e7,2,112,B,45-54,Male,1 season,10,6,10,Just Right,Aware and have NOT used/received
200,dacdec2e,2,199,J,65+,Male,21+ seasons,10,6,10,Just Right,Aware and have NOT used/received
201,9fe4ee84,2,332,JJ,45-54,Female,11-15 season,10,5,9,Too Many,Unaware
202,89954018,2,82,B,Prefer not to answer,Female,21+ seasons,10,6,7,Too Few,Unaware
203,55fe623e,2,140,P,65+,Male,11-20 season,7,6,9,Too Few,Unaware
204,aadb9977,2,406,JJ,45-54,Female,21+ seasons,10,10,10,Just Right,Unaware
205,d79387b4,2,229,J,55-64,Male,2-5 season,7,7,8,Just Right,Unaware
206,d9fd5805,2,450,K,55-64,Female,2-5 season,4,10,5,Too Many,Aware and have used/received
207,fe333f15,2,545,MM,55-64,Male,2-5 season,7,6,8,Just Right,Aware and have used/received
208,0d2e6a54,2,532,R,55-64,Male,1 season,10,1,5,Too Many,Unaware
209,74611de7,2,421,BB,45-54,Male,11-15 season,8,9,3,Too Few,Unaware
210,60ab43aa,2,419,NN,65+,Female,21+ seasons,8,8,8,Just Right,Aware and have NOT used/received
211,9aaa2cf9,2,1,Q,35-44,Male,2-5 season,10,8,1,Just Right,Aware and have NOT used/received
212,9.06E+81,2,222,X,45-54,Male,2-5 season,9,5,7,Just Right,Unaware
213,e9006dfe,2,179,N,65+,Male,21+ seasons,9,8,10,Just Right,Aware and have NOT used/received
214,e4b32bd5,2,291,BB,45-54,Male,6-10 season,10,10,10,Too Few,Unaware
215,ec4a78e8,2,291,P,35-44,Male,1 season,9,6,6,Just Right,Unaware
216,745395b5,2,499,O,65+,Male,1 season,9,7,5,Too Many,Aware and have NOT used/received
217,2e9b323a,2,221,W,35-44,Male,2-5 season,10,10,10,Just Right,Aware and have NOT used/received
218,7c6763d1,2,484,DD,45-54,Male,11-15 season,9,5,1,Just Right,Unaware
219,0b1ec6ad,2,238,II,35-44,Male,16-20 season,5,4,8,Too Few,Aware and have NOT used/received
220,a635fe08,2,331,U,45-54,Male,6-10 season,8,4,5,Just Right,Aware and have NOT used/received
221,f657d926,2,452,I,55-64,Male,6-10 season,9,9,9,Too Many,Aware and have used/received
222,c5d4bcbd,2,82,O,55-64,Female,6-10 season,10,7,8,Just Right,Aware and have NOT used/received
223,4a40eda7,2,151,BB,65+,Male,2-5 season,7,8,10,Just Right,Aware and have NOT used/received
224,9e84f58a,2,79,R,Prefer not to answer,Male,21+ seasons,9,6,9,Just Right,Unaware
225,0beb3ead,2,253,KK,45-54,Male,1 season,5,5,9,Just Right,Aware and have NOT used/received
226,fa995465,2,243,HH,25-34,Male,2-5 season,6,10,4,Too Few,Aware and have NOT used/received
227,e16f0747,2,424,BB,55-64,Male,2-5 season,10,8,10,Just Right,Unaware
228,1227b7f5,2,148,R,25-34,Male,2-5 season,9,5,9,Just Right,Aware and have NOT used/received
229,a15acde0,2,317,OO,55-64,Male,6-10 season,10,5,10,Just Right,Unaware
230,26064170,2,130,J,35-44,Female,6-10 season,2,10,6,Too Few,Aware and have NOT used/received
231,d4c428a1,2,285,F,45-54,Female,21+ seasons,2,10,4,Just Right,Unaware
232,4470031f,2,18,G,65+,Male,21+ seasons,2,6,1,Too Few,Aware and have used/received
233,1e8f8231,2,357,X,55-64,Female,21+ seasons,5,3,3,Too Few,Unaware
234,4fb3786f,2,298,S,65+,Male,11-15 season,3,4,3,Just Right,Aware and have NOT used/received
235,9054670,2,281,CC,45-54,Female,6-10 season,8,5,6,Too Many,Aware and have NOT used/received
236,2952384f,2,448,D,55-64,Male,16-20 season,2,9,5,Too Many,Unaware
237,2d9878ac,2,550,G,35-44,Male,2-5 season,5,1,4,Just Right,Unaware
238,8ae9f9d9,2,543,J,45-54,Male,11-20 season,9,7,9,Just Right,Unaware
239,b2088c3c,2,317,A,65+,Male,2-5 season,10,3,8,Too Few,Aware and have NOT used/received
240,2fbf8617,2,547,MM,45-54,Male,21+ seasons,2,3,4,Too Few,Aware and have NOT used/received
241,5e17b5ec,2,309,V,45-54,Male,2-5 season,7,5,7,Just Right,Unaware
242,973bade7,2,531,FF,65+,Female,1 season,5,6,10,Too Many,Unaware
243,b7c5ea7d,2,521,OO,45-54,Female,1 season,10,7,10,Just Right,Aware and have NOT used/received
244,4814e860,2,299,A,45-54,Male,2-5 season,1,7,7,Just Right,Unaware
245,b85f890e,2,544,X,65+,Female,6-10 season,8,7,10,Too Few,Aware and have used/received
246,b2ad2861,2,285,HH,55-64,Male,2-5 season,8,6,9,Just Right,Unaware
247,3e25418c,2,214,AA,65+,Female,2-5 season,10,7,10,Too Few,Aware and have NOT used/received
248,dc9973e6,2,271,E,25-34,Female,6-10 season,10,6,10,Just Right,Aware and have NOT used/received
249,6d6dfbe2,2,222,N,55-64,Female,11-15 season,8,5,7,Too Many,Unaware
250,c0a9f71e,2,453,AA,45-54,Male,2-5 season,10,5,10,Just Right,Unaware
251,e4f1486a,2,195,C,55-64,Male,11-20 season,9,4,7,Just Right,Aware and have NOT used/received
252,39c2f680,2,355,U,35-44,Female,11-15 season,7,1,6,Just Right,Aware and have NOT used/received
253,7246bba5,2,549,P,55-64,Female,11-20 season,3,5,5,Just Right,Aware and have NOT used/received
254,1809f756,2,291,C,45-54,Male,11-20 season,9,8,9,Just Right,Aware and have NOT used/received
255,c5498488,2,288,K,55-64,Male,11-20 season,3,7,8,Just Right,Aware and have NOT used/received
256,5896aaa7,2,456,HH,45-54,Male,2-5 season,5,3,10,Just Right,Unaware
257,b706a95f,2,385,HH,35-44,Female,2-5 season,9,2,6,Just Right,Aware and have NOT used/received
258,209ed947,2,165,K,35-44,Male,11-15 season,8,6,4,Too Few,Aware and have NOT used/received
259,9a429b32,2,476,X,45-54,Female,6-10 season,4,9,8,Too Many,Unaware
260,2c3ec7fc,2,167,GG,65+,Male,21+ seasons,7,5,7,Just Right,Unaware
261,0545ba00,2,224,GG,35-44,Male,21+ seasons,4,5,10,Too Many,Aware and have NOT used/received
262,a0eaf786,2,200,S,55-64,Female,11-20 season,8,7,7,Just Right,Aware and have used/received
263,a62985da,2,303,Y,45-54,Male,6-10 season,9,7,8,Just Right,Aware and have NOT used/received
264,a5a36444,2,182,L,55-64,Male,11-20 season,7,7,9,Just Right,Unaware
265,6db929f6,2,362,G,45-54,Male,2-5 season,8,2,7,Too Few,Unaware
266,8118e9a8,2,302,AA,55-64,Male,1 season,7,4,7,Just Right,Unaware
267,c85d22c9,2,184,FF,45-54,Male,6-10 season,9,3,8,Just Right,Aware and have NOT used/received
268,4a7a563e,2,337,LL,45-54,Male,1 season,8,5,6,Too Few,Unaware
269,7942b76f,2,7,L,45-54,Female,2-5 season,6,5,5,Too Many,Aware and have NOT used/received
270,cacb5f6e,2,377,M,45-54,Male,11-15 season,10,2,1,Too Few,Aware and have NOT used/received
271,351189dd,2,495,I,45-54,Female,6-10 season,9,10,7,Too Few,Unaware
272,209ed83b,2,504,I,65+,Male,21+ seasons,1,7,8,Too Few,Aware and have NOT used/received
273,1ed04b6a,2,346,NN,45-54,Male,6-10 season,8,4,8,Just Right,Unaware
274,cce2b2fd,2,143,U,45-54,Male,1 season,6,5,6,Too Few,Unaware
275,020ce624,2,242,P,25-34,Male,16-20 season,8,5,7,Too Many,Unaware
276,b955b195,2,495,DD,25-34,Male,2-5 season,10,3,10,Just Right,Unaware
277,7b65e107,2,520,FF,65+,Female,2-5 season,9,4,6,Too Few,Unaware
278,1e993b48,2,240,AA,45-54,Female,6-10 season,8,1,7,Too Many,Aware and have NOT used/received
279,e28088b7,2,194,M,25-34,Male,16-20 season,8,2,5,Too Many,Unaware
280,86da18d8,2,441,NN,55-64,Male,21+ seasons,2,10,4,Just Right,Unaware
281,8a82c443,2,498,M,55-64,Male,21+ seasons,8,8,8,Too Few,Unaware
282,86cfa769,2,464,H,55-64,Female,11-20 season,6,7,4,Too Many,Unaware
283,4fc33395,2,439,G,55-64,Male,21+ seasons,10,8,10,Just Right,Unaware
284,b045e030,2,517,MM,45-54,Female,6-10 season,8,5,7,Just Right,Aware and have NOT used/received
285,91cab852,2,25,Y,65+,Male,2-5 season,3,9,6,Too Many,Unaware
286,4fa161be,2,394,S,45-54,Female,11-15 season,5,3,10,Just Right,Aware and have used/received
287,c950e807,2,137,V,55-64,Male,21+ seasons,8,7,8,Just Right,Unaware
288,68e9953c,2,178,Q,45-54,Male,2-5 season,5,3,8,Too Many,Aware and have NOT used/received
289,0b93a56a,2,417,CC,65+,Male,11-20 season,10,2,7,Just Right,Aware and have NOT used/received
290,6a2be59b,2,306,G,65+,Male,21+ seasons,6,3,2,Too Few,Aware and have NOT used/received
291,08ca778d,2,539,I,55-64,Male,21+ seasons,10,10,10,Too Few,Unaware
292,9dc7e81c,2,244,Y,45-54,Female,2-5 season,10,6,3,Just Right,Aware and have used/received
293,7c1b4505,2,222,EE,55-64,Female,6-10 season,10,9,10,Just Right,Aware and have NOT used/received
